bank_tier,client_segment,channel,card_brand,MTI,DE39_response_code,amount_usd,is_international,distance_from_home_km,approved,client_baseline_amount,is_fraud,is_night,time_since_last_txn_min,is_online,is_foreign_currency,mcc_fraud_rate
0,1,3,1,100,0,7.78,0,16.7,1,161.64,,1,9999.0,0,0.0,
0,0,1,0,100,5,182.55,1,2534.0,0,183.44,,1,-526980.0,1,1.0,
0,3,3,0,100,0,14.67,0,18.8,1,218.72,,1,9999.0,0,0.0,
0,2,1,0,100,0,152.76,0,352.0,1,131.27,,1,-526920.0,1,0.0,
0,3,3,0,100,0,17.53,0,5.6,1,242.36,,1,9999.0,0,0.0,
0,3,0,1,100,0,16.59,0,1134.0,1,189.03,,1,9999.0,0,0.0,
0,1,3,1,100,0,11.9,1,2700.0,1,256.83,,1,9999.0,0,1.0,
0,2,3,1,100,0,15.9,0,4.6,1,165.75,,1,9999.0,0,0.0,
0,1,1,1,100,54,8.04,0,1351.0,0,261.54,,1,9999.0,1,0.0,
0,0,3,1,100,0,0.26,0,5.7,1,140.11,,1,9999.0,0,0.0,
0,3,1,1,100,0,183.63,0,20.3,1,150.84,,1,9999.0,1,0.0,
0,0,3,1,100,0,15.82,0,11.3,1,291.51,,1,9999.0,0,0.0,
0,0,3,1,100,0,5.52,0,5.1,1,282.13,,1,9999.0,0,0.0,
0,2,1,0,100,0,195.92,0,1357.0,1,131.27,,1,60.0,1,0.0,
0,3,0,1,100,0,7.0,0,3.8,1,135.13,,1,9999.0,0,0.0,
0,2,3,1,100,0,15.91,0,10.9,1,98.23,,1,9999.0,0,0.0,
0,3,0,1,100,0,17.19,0,13.4,1,106.81,,1,9999.0,0,0.0,
0,3,3,1,100,0,22.47,0,,1,278.11,,1,9999.0,0,0.0,
0,3,3,1,100,0,19.02,0,0.2,1,146.47,,1,9999.0,0,0.0,
0,3,1,1,100,0,28.37,0,12.7,1,225.05,,1,9999.0,1,0.0,
0,3,0,0,100,0,4.36,0,,1,82.15,,1,9999.0,0,0.0,
0,3,1,1,100,0,13.59,0,18.7,1,188.57,,1,9999.0,1,0.0,
0,3,3,1,100,0,5.76,0,1.9,1,97.2,,1,9999.0,0,0.0,
0,3,3,1,100,0,13.21,0,4.3,1,204.56,,1,9999.0,0,0.0,
0,3,0,0,100,0,17.16,0,5.5,1,219.73,,1,9999.0,0,0.0,
0,0,3,0,100,0,133.88,0,1367.0,1,183.44,,1,180.0,0,0.0,
0,3,0,1,100,0,18.08,0,15.2,1,135.29,,1,9999.0,0,0.0,
0,0,1,1,100,0,3.13,0,20.3,1,246.31,,1,9999.0,1,0.0,
0,3,1,1,100,0,1.65,0,2.1,1,155.0,,1,9999.0,1,0.0,
0,2,3,0,100,0,5.51,1,8971.0,1,98.83,,1,9999.0,0,1.0,
0,3,0,1,100,0,18.19,0,1081.0,1,240.94,,1,9999.0,0,0.0,
0,3,3,1,100,0,4.89,0,22.8,1,253.77,,1,9999.0,0,0.0,
0,3,3,0,100,91,21.52,0,8.8,0,141.9,,1,9999.0,0,0.0,
0,3,3,1,100,0,19.91,1,10503.0,1,196.7,,1,9999.0,0,1.0,
0,1,3,1,100,0,64.51,0,2.5,1,153.45,,1,9999.0,0,0.0,
0,0,2,0,100,0,25.26,0,23.9,1,235.31,,1,9999.0,0,0.0,
0,3,1,1,100,0,5.3,0,21.0,1,239.74,,1,9999.0,1,0.0,
0,2,3,1,100,0,1.79,0,,1,296.46,,1,9999.0,0,0.0,
0,3,3,1,100,0,25.42,0,15.5,1,235.26,,1,9999.0,0,0.0,
0,3,3,0,100,0,64.99,0,5.6,1,96.12,,1,-526680.0,0,0.0,
0,3,1,1,100,0,30.07,0,2.8,1,191.24,,1,9999.0,1,0.0,
0,1,0,2,100,0,23.03,0,24.8,1,242.61,,1,9999.0,0,0.0,
0,0,0,1,100,0,15.85,0,820.0,1,250.83,,1,9999.0,0,0.0,
0,0,3,1,100,0,22.33,0,12.0,1,218.84,,1,9999.0,0,0.0,
0,3,3,1,100,0,0.26,0,9.9,1,158.62,,1,9999.0,0,0.0,
0,0,1,0,100,0,176.43,1,11832.0,1,183.44,,1,120.0,1,1.0,
0,0,3,0,100,0,17.96,0,306.0,1,285.26,,1,9999.0,0,0.0,
0,3,3,0,100,0,8.47,0,14.8,1,100.66,,1,9999.0,0,0.0,
0,3,1,1,100,0,4.23,1,10991.0,1,176.07,,1,9999.0,1,1.0,
0,3,3,2,100,0,8.02,0,15.9,1,199.27,,1,9999.0,0,0.0,
0,1,3,0,100,0,2.36,0,9.1,1,81.63,,1,9999.0,0,0.0,
0,3,1,1,100,0,3.74,0,17.8,1,120.85,,1,9999.0,1,0.0,
0,3,0,0,100,0,39.74,0,6.2,1,262.01,,1,9999.0,0,0.0,
0,3,3,1,100,0,17.51,0,17.8,1,175.51,,1,9999.0,0,0.0,
0,0,3,1,100,0,12.47,0,1.3,1,241.21,,1,9999.0,0,0.0,
0,2,0,1,100,0,3.86,0,10.6,1,143.89,,1,9999.0,0,0.0,
0,1,3,1,100,0,1.01,0,21.3,1,240.8,,1,9999.0,0,0.0,
0,3,3,1,100,0,1.31,0,951.0,1,292.61,,0,9999.0,0,0.0,
0,3,0,0,100,0,47.99,0,236.0,1,281.69,,0,9999.0,0,0.0,
0,3,0,1,100,0,10.62,0,3.5,1,134.17,,0,9999.0,0,0.0,
0,1,0,1,100,0,13.67,0,17.7,1,117.89,,0,9999.0,0,0.0,
0,4,3,0,100,0,1.66,1,4541.0,1,257.23,,0,9999.0,0,1.0,
0,1,3,1,100,0,4.2,0,23.8,1,265.03,,0,9999.0,0,0.0,
0,2,1,1,100,0,41.4,0,21.4,1,118.65,,0,9999.0,1,0.0,
0,3,1,0,100,0,6.24,0,22.7,1,160.68,,0,9999.0,1,0.0,
0,3,3,1,100,0,60.56,0,17.6,1,267.45,,0,9999.0,0,0.0,
0,3,3,0,100,0,12.01,0,16.5,1,118.95,,0,9999.0,0,0.0,
0,3,0,0,100,0,24.66,0,4.6,1,204.38,,0,9999.0,0,0.0,
0,3,3,1,100,0,2.44,0,,1,203.3,,0,9999.0,0,0.0,
0,0,0,1,100,0,21.26,0,9.0,1,176.05,,0,9999.0,0,0.0,
0,3,3,1,100,0,2.66,0,3.0,1,90.32,,0,9999.0,0,0.0,
0,1,3,0,100,0,15.32,0,1.1,1,126.6,,0,9999.0,0,0.0,
0,3,0,1,100,0,32.1,0,605.0,1,204.77,,0,9999.0,0,0.0,
0,2,0,1,100,0,9.29,0,22.7,1,96.63,,0,9999.0,0,0.0,
0,3,0,1,100,0,14.07,0,24.4,1,228.57,,0,9999.0,0,0.0,
0,2,3,0,100,0,43.52,0,1.5,1,245.16,,0,9999.0,0,0.0,
0,3,3,1,100,0,15.78,0,1265.0,1,206.72,,0,9999.0,0,0.0,
0,3,3,1,100,0,23.13,0,20.5,1,170.16,,0,9999.0,0,0.0,
0,3,2,1,100,0,95.98,0,704.0,1,195.99,,0,9999.0,0,0.0,
0,3,3,0,100,0,1.55,0,22.6,1,179.92,,0,9999.0,0,0.0,
0,3,1,0,100,5,118.56,1,5428.0,0,179.47,,0,9999.0,1,1.0,
0,3,0,1,100,0,9.8,0,2.5,1,267.45,,0,0.0,0,0.0,
0,3,0,0,100,0,17.09,0,1444.0,1,120.99,,0,9999.0,0,0.0,
0,3,1,1,100,0,37.53,0,11.3,1,291.62,,0,9999.0,1,0.0,
0,0,3,0,100,0,6.76,0,22.1,1,176.37,,0,9999.0,0,0.0,
0,3,3,1,100,0,8.02,0,1037.0,1,232.28,,0,9999.0,0,0.0,
0,3,3,1,100,0,3.53,0,14.6,1,270.83,,0,9999.0,0,0.0,
0,3,1,0,100,0,26.27,0,17.5,1,101.13,,0,9999.0,1,0.0,
0,3,0,1,100,0,4.82,0,6.8,1,285.63,,0,9999.0,0,0.0,
0,0,3,2,100,0,41.36,0,0.8,1,174.83,,0,9999.0,0,0.0,
0,3,0,1,100,0,27.19,0,1389.0,1,264.92,,0,9999.0,0,0.0,
0,3,3,0,100,0,8.7,0,1211.0,1,115.91,,0,9999.0,0,0.0,
0,1,3,0,100,0,0.26,0,12.5,1,92.56,,0,9999.0,0,0.0,
0,3,0,1,100,0,2.83,0,,1,94.1,,0,9999.0,0,0.0,
0,3,1,1,100,0,5.09,0,0.2,1,207.28,,0,9999.0,1,0.0,
0,2,3,1,100,0,170.31,0,9.4,1,299.26,,0,9999.0,0,0.0,
0,3,3,0,100,0,6.7,0,,1,168.02,,0,9999.0,0,0.0,
0,3,0,0,100,0,28.88,0,6.0,1,175.93,,0,9999.0,0,0.0,
0,3,1,2,100,0,3.35,0,23.9,1,155.66,,0,9999.0,1,0.0,
0,3,0,1,100,0,7.15,0,834.0,1,80.63,,0,9999.0,0,0.0,
0,0,3,1,100,0,0.78,0,10.4,1,162.85,,0,9999.0,0,0.0,
0,3,0,0,100,0,12.79,0,835.0,1,114.74,,0,9999.0,0,0.0,
0,0,0,0,100,0,27.2,0,6.9,1,237.61,,0,9999.0,0,0.0,
0,3,0,1,100,0,21.16,0,22.2,1,226.6,,0,9999.0,0,0.0,
0,3,1,1,100,0,44.91,0,7.9,1,99.2,,0,9999.0,1,0.0,
0,3,3,1,100,0,0.26,0,19.7,1,103.47,,0,9999.0,0,0.0,
0,2,0,1,100,0,8.84,0,9.5,1,104.37,,0,9999.0,0,0.0,
0,3,0,1,100,0,20.82,0,24.9,1,118.65,,0,9999.0,0,0.0,
0,3,3,0,100,0,2.41,0,725.0,1,274.93,,0,9999.0,0,0.0,
0,3,3,1,100,0,14.14,0,0.3,1,240.94,,0,240.0,0,0.0,
0,3,1,0,100,0,148.19,0,,1,105.99,,0,9999.0,1,0.0,
0,2,1,1,100,0,29.86,1,8179.0,1,91.93,,0,9999.0,1,1.0,
0,3,3,1,100,0,41.89,0,664.0,1,238.0,,0,9999.0,0,0.0,
0,4,3,0,100,0,9.48,0,13.2,1,246.51,,0,9999.0,0,0.0,
0,3,3,0,100,0,6.79,0,11.2,1,197.3,,0,9999.0,0,0.0,
0,0,0,1,100,0,20.52,0,12.0,1,199.28,,0,9999.0,0,0.0,
0,3,2,1,100,0,3.99,0,7.7,1,214.76,,0,-526500.0,0,0.0,
0,3,3,1,100,0,4.77,0,725.0,1,204.69,,0,9999.0,0,0.0,
0,3,3,1,100,0,15.22,0,13.4,1,287.98,,0,9999.0,0,0.0,
0,2,3,0,100,0,20.27,0,3.9,1,206.88,,0,9999.0,0,0.0,
0,3,3,1,100,0,8.36,0,464.0,1,138.13,,0,9999.0,0,0.0,
0,1,1,0,100,0,6.91,0,613.0,1,175.01,,0,9999.0,1,0.0,
0,3,1,0,100,0,6.63,0,6.1,1,188.83,,0,9999.0,1,0.0,
0,1,3,0,100,0,9.03,0,22.5,1,157.13,,0,9999.0,0,0.0,
0,0,3,1,100,0,17.37,0,9.3,1,156.59,,0,9999.0,0,0.0,
0,3,0,1,100,0,9.9,0,762.0,1,114.45,,0,9999.0,0,0.0,
0,3,3,1,100,0,17.64,0,22.0,1,291.58,,0,9999.0,0,0.0,
0,2,0,1,100,0,35.18,0,19.2,1,251.65,,0,9999.0,0,0.0,
0,0,0,1,100,54,8.83,0,2.3,0,206.97,,0,9999.0,0,0.0,
0,3,3,1,100,0,3.82,0,3.4,1,226.93,,0,9999.0,0,0.0,
0,3,3,1,100,0,1.57,0,18.9,1,274.81,,0,9999.0,0,0.0,
0,2,3,1,100,0,31.48,0,21.8,1,203.44,,0,9999.0,0,0.0,
0,0,3,0,100,0,5.82,0,1.6,1,178.9,,0,9999.0,0,0.0,
0,3,0,1,100,0,4.11,1,11106.0,1,95.25,,0,9999.0,0,1.0,
0,1,1,1,100,0,15.33,0,915.0,1,149.94,,0,9999.0,1,0.0,
0,3,0,0,100,0,15.56,0,6.0,1,168.06,,0,9999.0,0,0.0,
0,3,3,0,100,0,13.04,0,,1,155.01,,0,9999.0,0,0.0,
0,3,3,1,100,0,22.61,0,10.9,1,242.52,,0,9999.0,0,0.0,
0,3,3,1,100,0,92.76,0,14.7,1,213.2,,0,9999.0,0,0.0,
0,3,3,1,100,0,37.78,0,5.4,1,265.97,,0,9999.0,0,0.0,
0,2,1,0,100,0,7.33,0,17.7,1,134.1,,0,9999.0,1,0.0,
0,3,3,0,100,0,4.07,0,1.6,1,145.61,,0,9999.0,0,0.0,
0,3,3,1,100,0,8.54,0,0.7,1,187.66,,0,9999.0,0,0.0,
0,0,3,1,100,0,3.68,0,22.1,1,140.91,,0,9999.0,0,0.0,
0,3,1,1,100,0,56.29,0,,1,186.36,,0,9999.0,1,0.0,
0,2,3,1,100,0,13.06,0,0.4,1,252.06,,0,9999.0,0,0.0,
0,3,3,0,100,0,15.84,0,10.2,1,206.52,,0,9999.0,0,0.0,
0,1,3,0,100,0,7.51,0,4.1,1,108.38,,0,9999.0,0,0.0,
0,3,3,1,100,0,28.78,0,23.4,1,217.34,,0,9999.0,0,0.0,
0,3,1,1,100,0,36.51,0,17.7,1,116.1,,0,9999.0,1,0.0,
0,1,0,1,100,0,11.28,0,332.0,1,174.45,,0,9999.0,0,0.0,
0,2,1,1,100,0,47.27,0,9.7,1,281.82,,0,9999.0,1,0.0,
0,2,0,0,100,55,20.17,0,12.7,0,229.89,,0,9999.0,0,0.0,
0,2,3,1,100,0,11.93,0,,1,101.66,,0,9999.0,0,0.0,
0,2,1,1,100,0,44.76,1,9563.0,1,239.56,,0,9999.0,1,1.0,
0,3,0,1,100,0,27.6,0,147.0,1,180.43,,0,9999.0,0,0.0,
0,2,3,1,100,0,6.08,0,291.0,1,187.43,,0,9999.0,0,0.0,
0,2,0,0,100,0,12.7,0,20.6,1,153.39,,0,9999.0,0,0.0,
0,3,3,0,100,0,20.49,0,5.2,1,262.01,,0,240.0,0,0.0,
0,3,3,0,100,0,10.37,0,12.7,1,217.48,,0,9999.0,0,0.0,
0,3,3,1,100,0,5.82,0,9.6,1,253.77,,0,360.0,0,0.0,
